no.,index,Dsc,Query,AuditType,RetNumbers,val1,val2,val3,RemType,numberOfTransitions,replacename,recom,,,title,,,,,,,,
11,2.9,2.9 Ensure 'Trustworthy' Database Property is set to 'Off' (Automated),SELECT name FROM sys.databases WHERE is_trustworthy_on = 1 AND name != 'msdb';,2,0,,,,2,1,<database_name>,ALTER DATABASE [<database_name>] SET TRUSTWORTHY OFF;,,,Ensure 'Trustworthy' Database Property is set to 'Off',,,,,,,,
12,2.10.,2.10 Ensure Unnecessary SQL Server Protocols are set to 'Disabled' (Manual),0,0,,0,0,,0,0,,,,,Ensure Unnecessary SQL Server Protocols are set to 'Disabled',,,,,,,,
13,2.11,2.11 Ensure SQL Server is configured to use non-standard ports (Automated),"SELECT 'use non-standard ports', count(*) as no  FROM sys.dm_server_registry WHERE value_name like '%Tcp%' and value_data='1433';",1,1,0,,,0,0,,,,,Ensure SQL Server is configured to use non-standard ports,,,,,,,,
14,2.12,2.12 kooft,"DECLARE @getValue INT; EXEC master.sys.xp_instance_regread @rootkey = N'HKEY_LOCAL_MACHINE', @key = N'SOFTWARE\Microsoft\Microsoft SQL Server\MSSQLServer\SuperSocketNetLib',  @value_name = N'HideInstance',  @value = @getValue OUTPUT;  SELECT 'Hide Instance', @getValue;",1,1,1,,,1,1,,"EXEC master.sys.xp_instance_regwrite @rootkey = N'HKEY_LOCAL_MACHINE',  @key = N'SOFTWARE\Microsoft\Microsoft SQL Server\MSSQLServer\SuperSocketNetLib',  @value_name = N'HideInstance',  @type = N'REG_DWORD', @value = 1;",,,Ensure 'Hide Instance' option is set to 'Yes' for Production SQL Server instances,,,,,,,,
15,2.13,"<p style ="" font-size: 80%""> <h4>2.13 Ensure the 'sa' Login Account is set to 'Disabled' (Automated) </h4> <div style=""margin-top: 0px;""></div> <b>Profile Applicability:</b> <br> &bull; Level 1 - Database Engine <br> &bull; Level 1 - AWS RDS <div style=""margin-top: 0px;""></div> <b>Description:</b> <br>The sa account is a widely known and often widely used SQL Server account with sysadmin privileges. This is the original login created during installation and always has the principal_id=1 and sid=0x01. <div style=""margin-top: 0px;""></div> <b>Rationale:</b> <br>Enforcing this control reduces the probability of an attacker executing brute force attacks against a well-known principal. <div style=""margin-top: 0px;""></div> <b>Impact:</b> <br>It is not a good security practice to code applications or scripts to use the sa account. However, if this has been done, disabling the sa account will prevent scripts and applications from authenticating to the database server and executing required tasks or functions. <div style=""margin-top: 0px;""></div> <b>Audit:</b> <br>Use the following syntax to determine if the sa account is disabled. Checking for sid=0x01 ensures that the original sa account is being checked in case it has been renamed per best practices. <p style =""font-family : Courier New""> SELECT name, is_disabled<br> FROM sys.server_principals<br> WHERE sid = 0x01<br> AND is_disabled = 0;<br> </p> No rows should be returned to be compliant. <br>An is_disabled value of 0 indicates the login is currently enabled and therefore needs remediation. <div style=""margin-top: 0px;""></div> <b>Remediation: </b> <br>Run the following T-SQL command: <p style =""font-family : Courier New ; ""> USE [master]<br> GO<br> DECLARE @tsql nvarchar(max)<br> SET @tsql = 'ALTER LOGIN ' + SUSER_NAME(0x01) + ' DISABLE'<br> EXEC (@tsql)<br> GO </p> <div style=""margin-top: 0px;""></div> <b>Default Value:</b> <br>By default, the sa login account is disabled at install time when Windows Authentication Mode is selected. If mixed mode (SQL Server and Windows Authentication) is selected at install, the default for the sa login is enabled. <div style=""margin-top: 0px;""></div> <b>References: </b> <br> <a href=""https://learn.microsoft.com/en-us/sql/relational-databases/system-catalog-views/sys-server-principals-transact-sql""> 1.https://learn.microsoft.com/en-us/sql/relational-databases/system-catalog-views/sys-server-principals-transact-sql</a><br <a href=""https://learn.microsoft.com/en-us/sql/t-sql/statements/alter-login-transact-sql""> 2.https://learn.microsoft.com/en-us/sql/t-sql/statements/alter-login-transact-sql</a><br> <a href=""https://learn.microsoft.com/en-us/sql/relational-databases/security/choose-an-authentication-mode""> 3.https://learn.microsoft.com/en-us/sql/relational-databases/security/choose-an-authentication-mode</a> <br> </p>","SELECT name, is_disabled FROM sys.server_principals WHERE sid = 0x01 AND is_disabled = 0",2,,,,,1,1,,DECLARE @tsql nvarchar(max); SET @tsql = 'ALTER LOGIN ' + SUSER_NAME(0x01) + ' DISABLE' ;EXEC (@tsql),,,Ensure the 'sa' Login Account is set to 'Disabled',,,,,,,,
16,2.14,"<p style ="" font-size: 80%""> <h4>2.14 Ensure the 'sa' Login Account has been renamed (Automated) </h4> <div style=""margin-top: 0px;""></div> <b>Profile Applicability:</b> <br> &bull; Level 1 - Database Engine <div style=""margin-top: 0px;""></div> <b>Description:</b> <br>The sa account is a widely known and often widely used SQL Server login with sysadmin privileges. The sa login is the original login created during installation and always has principal_id=1 and sid=0x01. <div style=""margin-top: 0px;""></div> <b>Rationale:</b> <br>It is more difficult to launch password-guessing and brute-force attacks against the sa login if the name is not known. <div style=""margin-top: 0px;""></div> <b>Impact:</b> <br>It is not a good security practice to code applications or scripts to use the sa login. However, if this has been done, renaming the sa login will prevent scripts and applications from authenticating to the database server and executing required tasks or functions. <div style=""margin-top: 0px;""></div> <b>Audit:</b> <br>Use the following syntax to determine if the sa login (principal) is renamed. <p style =""font-family : Courier New""> SELECT name<br> FROM sys.server_principals<br> WHERE sid = 0x01; </p> A name of sa indicates the account has not been renamed and therefore needs remediation. <div style=""margin-top: 0px;""></div> <b>Remediation: </b> <br>Replace the &lt;different_user> value within the below syntax and execute to rename the sa login. <p style =""font-family : Courier New ; ""> ALTER LOGIN sa WITH NAME = &lt;different_user>; </p> <div style=""margin-top: 0px;""></div> <b>Default Value:</b> <br>By default, the sa login name is 'sa' <div style=""margin-top: 0px;""></div> <b>References: </b> <br> <a href=""https://learn.microsoft.com/en-us/sql/relational-databases/security/choose-an-authentication-model""> 1.https://learn.microsoft.com/en-us/sql/relational-databases/security/choose-an-authentication-model</a> <br> </p>",SELECT name FROM sys.server_principals WHERE sid = 0x01;,5,1,sa,,,2,1,<different_name>,ALTER LOGIN sa WITH NAME = <different_name>;,,,Ensure the 'sa' Login Account has been renamed,,,,,,,,
17,2.15,2.15 lolo,"SELECT name, containment, containment_desc, is_auto_close_on FROM sys.databases WHERE containment <> 0 and is_auto_close_on = 1;",2,1,,,,2,1,<database_name>,ALTER DATABASE SET AUTO_CLOSE OFF;,,,Ensure 'AUTO_CLOSE' is set to 'OFF' on contained databases ,,,,,,,,
18,2.16,"<p style ="" font-size: 80%""> <h4>2.16 Ensure no login exists with the name 'sa' (Automated)</h4> <div style=""margin-top: 0px;""></div> <b>Profile Applicability:</b> <br> &bull; Level 1 - Database Engine <br> &bull; Level 1 - AWS RDS <div style=""margin-top: 0px;""></div> <b>Description:</b> <br>The sa login (e.g. principal) is a widely known and often widely used SQL Server account. Therefore, there should not be a login called sa even when the original sa login (principal_id = 1) has been renamed. <div style=""margin-top: 0px;""></div> <b>Rationale:</b> <br>Enforcing this control reduces the probability of an attacker executing brute force attacks against a well-known principal name. <div style=""margin-top: 0px;""></div> <b>Impact:</b> <br>It is not a good security practice to code applications or scripts to use the sa account. Given that it is a best practice to rename and disable the sa account, some 3rd party applications check for the existence of a login named sa and if it doesn't exist, creates one. Removing the sa login will prevent these scripts and applications from authenticating to the database server and executing required tasks or functions. <div style=""margin-top: 0px;""></div> <b>Audit:</b> Use the following syntax to determine if there is an account named sa. <p style =""font-family : Courier New""> SELECT name,<br> CAST(value as int) as value_configured,<br> CAST(value_in_use as int) as value_in_use<br> FROM sys.configurations<br> WHERE name = 'clr strict security'; </p> If both values are 1, this recommendation is Not Applicable. Otherwise, run the following T-SQL command: <p style =""font-family : Courier New""> SELECT principal_id, name<br> FROM sys.server_principals<br> WHERE name = 'sa'; </p> No rows should be returned. <div style=""margin-top: 0px;""></div> <b>Remediation: </b> <br>Execute the appropriate ALTER statement below based on the principal_id returned for the login named sa. Replace the <different_name> value within the below syntax and execute to rename the sa login. <br>Otherwise, run the following T-SQL command: <p style =""font-family : Courier New ; ""> USE [master]<br> GO<br> -- If principal_id = 1 or the login owns database objects, rename the sa<br> login<br> ALTER LOGIN [sa] WITH NAME = &lt;different_name>; <br> GO </p> Restart the Database Engine. <div style=""margin-top: 0px;""></div> <b>Default Value:</b> <br>The login with principal_id = 1 is named sa by default. <div style=""margin-top: 0px;""></div> </p>","SELECT principal_id, name FROM sys.server_principals WHERE name = 'sa';",2,,,,,2,1,<different_name>,ALTER login [sa] WITH NAME = test,,,Ensure no login exists with the name 'sa',,,,,,,,
19,2.17,"<h4>2.17 Ensure 'clr strict security' Server Configuration Option is set to '1' (Automated)</h4> <div style=""margin-top: 0px;"">&nbsp;</div> <p style=""font-size: 80%;""><strong>Profile Applicability:</strong> <br />&bull; Level 1 - Database Engine <br />&bull; Level 1 - AWS RDS</p> <div style=""margin-top: 0px;"">&nbsp;</div> <p style=""font-size: 80%;""><strong>Description:</strong> <br />The clr strict security option specifies whether the engine applies the PERMISSION_SET on the assemblies.</p> <div style=""margin-top: 0px;"">&nbsp;</div> <p style=""font-size: 80%;""><strong>Rationale:</strong> <br />Enabling use of CLR assemblies widens the attack surface of SQL Server and puts it at risk from both inadvertent and malicious assemblies.</p> <div style=""margin-top: 0px;"">&nbsp;</div> <p style=""font-size: 80%;""><strong>Impact:</strong> <br />If CLR assemblies are in use, applications may need to be rearchitected to eliminate their usage before enabling this setting. To find user-created assemblies, run the following query in all databases, replacing &lt;database_name&gt; with each database name:</p> <p style=""font-family: Courier New;"">USE [&lt;database_name&gt;]<br />GO<br />SELECT name AS Assembly_Name, permission_set_desc<br />FROM sys.assemblies<br />WHERE is_user_defined = 1; GO</p> <div style=""margin-top: 0px;"">&nbsp;</div> <p style=""font-size: 80%;""><strong>Audit:</strong> <br />Run the following T-SQL command:</p> <p style=""font-family: Courier New;"">SELECT name,<br />CAST(value as int) as value_configured,<br />CAST(value_in_use as int) as value_in_use<br />FROM sys.configurations<br />WHERE name = 'clr strict security';</p> <p style=""font-size: 80%;"">Both value columns must show 1 to be compliant.</p> <p style=""font-size: 80%;""><strong>Remediation: </strong> <br />Run the following T-SQL command:</p> <p style=""font-family: Courier New;"">EXECUTE sp_configure 'show advanced options', 1; RECONFIGURE;<br />EXECUTE sp_configure 'clr strict security', 1;<br />RECONFIGURE;<br />GO<br />EXECUTE sp_configure 'show advanced options', 0;<br />RECONFIGURE;</p> <p style=""font-size: 80%;""><strong>Default Value:</strong> <br />By default, this option is Enabled (1).</p> <div style=""margin-top: 0px;"">&nbsp;</div> <p style=""font-size: 80%;""><strong>References: </strong> <br /><a href=""https://learn.microsoft.com/en-us/sql/database-engine/configure-windows/clr-strict-security""> 1.https://learn.microsoft.com/en-us/sql/database-engine/configure-windows/clr-strict-security</a></p>","SELECT name, CAST(value as int) as value_configured, CAST(value_in_use as int) as value_in_use FROM sys.configurations WHERE name = 'clr strict security';",1,2,1,1,,1,3,,"EXECUTE sp_configure 'show advanced options', 1; RECONFIGURE;","EXECUTE sp_configure 'clr strict security', 1; RECONFIGURE;","EXECUTE sp_configure 'show advanced options', 0; RECONFIGURE;",Ensure 'clr strict security' Server Configuration Option is set to '1',,,,,,,,
20,3.1,"<p style ="" font-size: 80%""> <h4>3.1 Ensure 'Server Authentication' Property is set to 'Windows Authentication Mode' (Automated) </h4> <div style=""margin-top: 0px;""></div> <b>Profile Applicability:</b> <br> &bull; Level 1 - Database Engine <div style=""margin-top: 0px;""></div> <b>Description:</b> <br>Uses Windows Authentication to validate attempted connections. <div style=""margin-top: 0px;""></div> <b>Rationale:</b> <br>Windows provides a more robust authentication mechanism than SQL Server authentication. <div style=""margin-top: 0px;""></div> <b>Impact:</b> <br>Changing the login mode configuration requires a restart of the service. <div style=""margin-top: 0px;""></div> <b>Audit:</b> Execute the following syntax: <p style =""font-family : Courier New""> SELECT SERVERPROPERTY('IsIntegratedSecurityOnly') as [login_mode]; </p> A login_mode of 1 indicates the Server Authentication property is set to Windows Authentication Mode. A login_mode of 0 indicates mixed mode authentication. <div style=""margin-top: 0px;""></div> <b>Remediation: </b> <br>Perform either the GUI or T-SQL method shown:<br> <b>GUI Method</b><br> <ol> <li>Open SQL Server Management Studio.</li> <li>Open the Object Explorer tab and connect to the target SQL Server instance.</li> <li>Right click the instance name and select Properties.</li> <li>Select the Security page from the left menu.</li> <li>Set the Server authentication setting to Windows Authentication Mode.</li> </ol> <b>T-SQL Method</b><br> Run the following T-SQL in a Query Window: <p style =""font-family : Courier New ; ""> USE [master]<br> GO<br> EXEC xp_instance_regwrite N'HKEY_LOCAL_MACHINE',<br> N'Software\Microsoft\MSSQLServer\MSSQLServer', N'LoginMode', REG_DWORD, 1<br> GO </p> Restart the SQL Server service for the change to take effect. <div style=""margin-top: 0px;""></div> <b>Default Value:</b> <br>Windows Authentication Mode <div style=""margin-top: 0px;""></div> <b>References: </b> <br> <a href=""https://learn.microsoft.com/en-us/sql/database-engine/configure-windows/server-properties-security-page""> 1.https://learn.microsoft.com/en-us/sql/database-engine/configure-windows/server-properties-security-page</a> <br> </p>","SELECT 'Windows Authentication Mode' as name, CAST(SERVERPROPERTY('IsIntegratedSecurityOnly') as int) as [login_mode];",1,1,1,,,1,1,,"EXEC master.dbo.xp_instance_regwrite N'HKEY_LOCAL_MACHINE', N'Software\Microsoft\MSSQLServer\MSSQLServer', N'LoginMode', REG_DWORD, 1",,,Ensure 'Server Authentication' Property is set to 'Windows Authentication Mode' ,,,,,,,,
21,3.2,"<p style ="" font-size: 80%""> <h4>3.2 Ensure CONNECT permissions on the 'guest' user is Revoked within all SQL Server databases (Automated) </h4> <div style=""margin-top: 0px;""></div> <b>Profile Applicability:</b> <br> &bull; Level 1 - Database Engine <br> &bull; Level 1 - AWS RDS <div style=""margin-top: 0px;""></div> <b>Description:</b> <br>Remove the right of the guest user to connect to SQL Server databases, except for master, msdb, tempdb, and, on AWS RDS instances, rdsadmin. <div style=""margin-top: 0px;""></div> <b>Rationale:</b> <br>A login assumes the identity of the guest user when a login has access to SQL Server but does not have access to a database through its own account and the database has a guest user account. Revoking the CONNECT permission for the guest user will ensure that a login is not able to access database information without explicit access to do so. <div style=""margin-top: 0px;""></div> <b>Impact:</b> <br>When CONNECT permission to the guest user is revoked, a SQL Server instance login must be mapped to a database user explicitly in order to have access to the database. <div style=""margin-top: 0px;""></div> <b>Audit:</b> <br>Run the following code snippet for each database (replacing &lt;database_name> as appropriate) in the instance to determine if the guest user has CONNECT permission. <p style =""font-family : Courier New""> USE &lt;database_name>; <br> GO<br> SELECT DB_NAME() AS DatabaseName, 'guest' AS Database_User,<br> [permission_name], [state_desc]<br> FROM sys.database_permissions<br> WHERE [grantee_principal_id] = DATABASE_PRINCIPAL_ID('guest')<br> AND [state_desc] LIKE 'GRANT%'<br> AND [permission_name] = 'CONNECT'<br> AND DB_NAME() NOT IN ('master','tempdb','msdb'); </p> No rows should be returned. On AWS RDS instance, if only rdsadmin is returned, this is a pass. <br>An is_disabled value of 0 indicates the login is currently enabled and therefore needs remediation. <div style=""margin-top: 0px;""></div> <b>Remediation: </b> <br>The following code snippet revokes CONNECT permissions from the guest user in a database. Replace &lt;database_name> as appropriate: <p style =""font-family : Courier New ; ""> USE &lt;database_name>;<br> GO<br> REVOKE CONNECT FROM guest;<br> </p> <div style=""margin-top: 0px;""></div> <b>Default Value:</b> <br>The guest user account is added to each new database but without CONNECT permission by default. <div style=""margin-top: 0px;""></div> <b>References: </b> <br> <a href=""https://learn.microsoft.com/en-us/sql/relational-databases/policy-based-management/guest-permissions-on-user-databases""> 1.https://learn.microsoft.com/en-us/sql/relational-databases/policy-based-management/guest-permissions-on-user-databases</a><br> <br> </p>","SELECT DB_NAME() AS DatabaseName, 'guest' AS Database_User,[permission_name], [state_desc] FROM sys.database_permissions WHERE [grantee_principal_id] = DATABASE_PRINCIPAL_ID('guest') AND [state_desc] LIKE 'GRANT%' AND [permission_name] = 'CONNECT' AND DB_NAME() NOT IN ('master','tempdb','msdb');",2,,,,,1,1,,REVOKE CONNECT FROM guest;,,,Ensure CONNECT permissions on the 'guest' user is Revoked within all SQL Server databases ,,,,,,,,
22,3.3,3.3,EXEC sp_change_users_login @Action='Report';,2,,,,,2,1,<username>,DROP USER <username> ;,,,Ensure 'Orphaned Users' are Dropped From SQL Server Databases ,,,,,,,,
23,3.4,3.4,"SELECT name AS DBUser FROM sys.database_principals WHERE name NOT IN ('dbo','Information_Schema','sys','guest') AND type IN ('U','S','G') AND authentication_type = 2;",2,,,,,0,0,,,,,Ensure SQL Authentication is not used in contained databases (,,,,,,,,
24,3.5,Ensure the SQL Server's MSSQL Service Account is Not an Administrator (Manual),0,0,,,,,0,0,,,,,Ensure the SQL Server’s MSSQL Service Account is Not an Administrator,,,,,,,,
25,3.6, Ensure the SQL Server's SQLAgent Service Account is Not an Administrator (Manual),0,0,,,,,0,0,,,,,Ensure the SQL Server’s SQLAgent Service Account is Not an Administrator,,,,,,,,
26,3.7,Ensure the SQL Server’s Full-Text Service Account is Not an Administrator (Manual),0,0,,,,,0,0,,,,,Ensure the SQL Server’s Full-Text Service Account is Not an Administrator,,,,,,,,
27,3.8,3.8,SELECT * FROM master.sys.server_permissions WHERE (grantee_principal_id = SUSER_SID(N'public') and state_desc LIKE 'GRANT%') AND NOT (state_desc = 'GRANT' and [permission_name] = 'VIEW ANY DATABASE' and class_desc = 'SERVER') AND NOT (state_desc = 'GRANT' and [permission_name] = 'CONNECT' and class_desc = 'ENDPOINT' and major_id = 2) AND NOT (state_desc = 'GRANT' and [permission_name] = 'CONNECT' and class_desc = 'ENDPOINT' and major_id = 3) AND NOT (state_desc = 'GRANT' and [permission_name] = 'CONNECT' and class_desc = 'ENDPOINT' and major_id = 4) AND NOT (state_desc = 'GRANT' and [permission_name] = 'CONNECT' and class_desc = 'ENDPOINT' and major_id = 5);,2,,,,,2,1,<permission_name>,REVOKE <permission_name> FROM public;,,,Ensure only the default permissions specified by Microsoft are granted to the public server role,,,,,,,,
28,3.9,3.9,"SELECT pr.[name], pe.[permission_name], pe.[state_desc] FROM sys.server_principals pr JOIN sys.server_permissions pe ON pr.principal_id = pe.grantee_principal_id WHERE pr.name like 'BUILTIN%';",2,,,,,2,1,<name>,DROP LOGIN [BUILTIN\<name>],,,Ensure Windows BUILTIN groups are not SQL Logins,,,,,,,,
29,3.10.,3.10.,"SELECT pr.[name] AS LocalGroupName, pe.[permission_name], pe.[state_desc] FROM sys.server_principals pr JOIN sys.server_permissions pe ON pr.[principal_id] = pe.[grantee_principal_id] WHERE pr.[type_desc] = 'WINDOWS_GROUP' AND pr.[name] like CAST(SERVERPROPERTY('MachineName') AS nvarchar) + '%';",2,,,,,2,1,<name>,DROP LOGIN [<name>],,,Ensure Windows local groups are not SQL Logins,,,,,,,,
30,3.11,3.11,SELECT sp.name AS proxyname FROM [msdb].dbo.sysproxylogin spl JOIN sys.database_principals dp ON dp.sid = spl.sid JOIN [msdb].dbo.sysproxies sp ON sp.proxy_id = spl.proxy_id WHERE principal_id = USER_ID('public');,2,,,,,2,1,<proxyname>,"EXEC msdb.dbo.sp_revoke_login_from_proxy @name = N'public', @proxy_name = N'<proxyname>';",,,Ensure the public role in the msdb database is not granted access to SQL Agent proxies,,,,,,,,
31,4.1,Ensure 'MUST_CHANGE' Option is set to 'ON' for All SQL Authenticated Logins (Manual),0,0,,,,,0,0,,,,,Ensure 'MUST_CHANGE' Option is set to 'ON' for All SQL Authenticated Logins,,,,,,,,
32,4.2,"<p style ="" font-size: 80%""> <h4>4.2 Ensure 'CHECK_EXPIRATION' Option is set to 'ON' for All SQL Authenticated Logins Within the Sysadmin Role (Automated) </h4> <div style=""margin-top: 0px;""></div> <b>Profile Applicability:</b> <br> &bull; Level 1 - Database Engine <br> &bull; Level 1 - AWS RDS <div style=""margin-top: 0px;""></div> <b>Description:</b> <br>Applies the same password expiration policy used in Windows to passwords used inside SQL Server. <div style=""margin-top: 0px;""></div> <b>Rationale:</b> <br>Ensuring SQL logins comply with the secure password policy applied by the Windows Server Benchmark will ensure the passwords for SQL logins with sysadmin privileges are changed on a frequent basis to help prevent compromise via a brute force attack. CONTROL SERVER is an equivalent permission to sysadmin and logins with that permission should also be required to have expiring passwords. <div style=""margin-top: 0px;""></div> <b>Impact:</b> <br>This is a mitigating recommendation for systems which cannot follow the recommendation to use only Windows Authenticated logins.<br> Regarding limiting this rule to only logins with sysadmin and CONTROL SERVER privileges,there are too many cases of applications that run with less than sysadmin level privileges that have hard-coded passwords or effectively hard-coded passwords (whatever is set the first time is nearly impossible to change). There are several line-ofbusiness applications that are considered best of breed which have this failing.<br> Also, keep in mind that the password policy is taken from the computer's local policy, which is taken from the Default Domain Policy setting. Many organizations have a different password policy regarding the service accounts. These are handled in AD by setting the account's password to not expire and having some other process track when the password needs to be changed. With this second control in place, this is perfectly acceptable from an audit perspective. If you treat a SQL Server login as a service account, then you have to do the same. This ensures that the password change happens during a communicated downtime window and not arbitrarily. <div style=""margin-top: 0px;""></div> <b>Audit:</b> <br>Run the following T-SQL statement to find sysadmin or equivalent logins with CHECK_EXPIRATION = OFF. <p style =""font-family : Courier New""> SELECT l.[name], 'sysadmin membership' AS 'Access_Method'<br> FROM sys.sql_logins AS l<br> WHERE IS_SRVROLEMEMBER('sysadmin',name) = 1<br> AND l.is_expiration_checked &lt;> 1<br> UNION ALL<br> SELECT l.[name], 'CONTROL SERVER' AS 'Access_Method'<br> FROM sys.sql_logins AS l<br> JOIN sys.server_permissions AS p<br> ON l.principal_id = p.grantee_principal_id<br> WHERE p.type = 'CL' AND p.state IN ('G', 'W')<br> AND l.is_expiration_checked &lt;> 1; </p> No rows should be returned. On AWS RDS instances only returning the account rdsa is a pass. <div style=""margin-top: 0px;""></div> <b>Remediation: </b> <br>For each &lt;login_name> found by the Audit Procedure, execute the following T-SQL statement: <p style =""font-family : Courier New ; ""> ALTER LOGIN [&lt;login_name>] WITH CHECK_EXPIRATION = ON; </p> <div style=""margin-top: 0px;""></div> <b>Default Value:</b> <br>CHECK_EXPIRATION is ON by default when using SSMS to create a SQL authenticated login. CHECK_EXPIRATION is OFF by default when using T-SQL CREATE LOGIN syntax without specifying the CHECK_EXPIRATION option. <div style=""margin-top: 0px;""></div> <b>References: </b> <br> <a href=""https://learn.microsoft.com/en-us/sql/relational-databases/security/password-policy?view=sql-server-ver15""> 1.https://learn.microsoft.com/en-us/sql/relational-databases/security/password-policy?view=sql-server-ver15</a> <br> </p>","SELECT l.[name], 'sysadmin membership' AS 'Access_Method' FROM sys.sql_logins AS l WHERE IS_SRVROLEMEMBER('sysadmin',name) = 1 AND l.is_expiration_checked <> 1 UNION ALL SELECT l.[name], 'CONTROL SERVER' AS 'Access_Method' FROM sys.sql_logins AS l JOIN sys.server_permissions AS p ON l.principal_id = p.grantee_principal_id WHERE p.type = 'CL' AND p.state IN ('G', 'W') AND l.is_expiration_checked <> 1;",2,,,,,2,1,<login_name>,ALTER LOGIN [<login_name>] WITH CHECK_EXPIRATION = ON;,,,Ensure 'CHECK_EXPIRATION' Option is set to 'ON' for All SQL Authenticated Logins Within the Sysadmin Role,,,,,,,,
33,4.3,"<p style ="" font-size: 80%""> <h4>4.3 Ensure 'CHECK_POLICY' Option is set to 'ON' for All SQL Authenticated Logins (Automated) </h4> <div style=""margin-top: 0px;""></div> <b>Profile Applicability:</b> <br> &bull; Level 1 - Database Engine <br> &bull; Level 1 - AWS RDS <div style=""margin-top: 0px;""></div> <b>Description:</b> <br>Applies the same password complexity policy used in Windows to passwords used inside SQL Server. <div style=""margin-top: 0px;""></div> <b>Rationale:</b> <br>Ensure SQL authenticated login passwords comply with the secure password policy applied by the Windows Server Benchmark so that they cannot be easily compromised via brute force attack. <div style=""margin-top: 0px;""></div> <b>Impact:</b> <br>This is a mitigating recommendation for systems which cannot follow the recommendation to use only Windows Authenticated logins.<br> Weak passwords can lead to compromised systems. SQL Server authenticated logins will utilize the password policy set in the computer's local policy, which is typically set by the Default Domain Policy setting.<br> The setting is only enforced when the password is changed. This setting does not force existing weak passwords to be changed. <div style=""margin-top: 0px;""></div> <b>Audit:</b> <br>Use the following code snippet to determine the status of SQL Logins and if their password complexity is enforced. <p style =""font-family : Courier New""> SELECT name, is_disabled<br> FROM sys.sql_logins<br> WHERE is_policy_checked = 0;<br> </p> <div style=""margin-top: 0px;""></div> <b>Remediation: </b> <br>For each &lt;login_name> found by the Audit Procedure, execute the following T-SQL statement: <p style =""font-family : Courier New ; ""> ALTER LOGIN [&lt;login_name>] WITH CHECK_POLICY = ON; </p> Note: In the case of AWS RDS do not perform this remediation for the Master account. <br>Default Value: <br>CHECK_POLICY is ON <div style=""margin-top: 0px;""></div> <b>Default Value:</b> <br>6 SQL Server error log files in addition to the current error log file are retained by default. <div style=""margin-top: 0px;""></div> <b>References: </b> <br> <a href=""https://learn.microsoft.com/en-us/sql/relational-databases/security/password-policy""> 1.https://learn.microsoft.com/en-us/sql/relational-databases/security/password-policy</a> <br> </p>","SELECT name, is_disabled FROM sys.sql_logins WHERE is_policy_checked = 0;",2,,,,,2,1,<login_name>,ALTER LOGIN [<login_name>] WITH CHECK_POLICY = ON;,,,Ensure 'CHECK_POLICY' Option is set to 'ON' for All SQL Authenticated Logins,,,,,,,,
